store_name,city_name,full_address,Coordinates(Longtude/Latitude),phone_no,store_timing
 Vishal Mega Mart ,Adilabad," Mancherial - Chandrapur - Nagpur Rd, Maruthi Nagar, Opposite Hi Tech Colony, Mancherial, Adilabad, Telangana 504208","18.8902164,79.4403537",0782 7968 051 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Singhbhum," Road No 16, Jawahar Nagar, Opposite Madhav Baug Colony, Jamshedpur, East Singhbhum, Jharkhand 831012","22.8403709,86.2080863",0805 1131 700 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Singhbhum," Madhusudan Shree Krishnapuri, Dimna Main Road, Adarsh Nagar, Mango, Jamshedpur, East Singhbhum, Jharkhand 831012","22.8269043,86.2230377",0721 7888 010 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Seraikela-Kharsawan," Station Road, Jugsalai, Near LIC Building, Jamshedpur, Seraikela-Kharsawan, Jharkhand 831002","22.7714029,86.1943014",0124 4555 100 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nizamabad," Hyderabad Road, Near Hanuman Junction, Vinayak Nagar, Nizamabad, Telangana 503001","18.662645,78.111765",0988 4018 620 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Karim Nagar," FCI 10 Road, Trinity College, Near Gurudeep Filling Station, Ramagundam, Karim Nagar, Telangana 505208","18.762051,79.4788654",0931 1713 413 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bardhaman," GT Road, Ushagram, Asansol, Bardhaman, West Bengal 713339","23.6774407,87.001355",0935 4575 152 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Darjiling," Ground Floor, Spencer Plaza, Burdwan Road, Siliguri, Darjiling, West Bengal 734005","26.7091165,88.4172305",0721 7888 154 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Darjiling," Lower Ground Floor, 3rd Mile, Sovoke Road, Opposite Mahindra Showroom Home Land, Siliguri, Darjiling, West Bengal 734001","26.7537531,88.4407643",0931 5913 447 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North Dinajpur," NS Road, Near HDFC Bank, Raiganj, North Dinajpur, West Bengal 733134","25.6293028,88.1312279",0931 1713 435 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Singhbhum," Moubhandar Road, Dahigora, Besides Subarnarekha Nushing Home, Ghatshila, East Singhbhum, Jharkhand 832303","22.5902387,86.4696343",0983 5412 555 ,09:00 AM to 09:00 PM
 Vishal Mega Mart ,Karim Nagar," Door No 2-3-133 and 134, Kamarapu Kotaiah Towers, Kaman Circle, Ganesh Nagar, Karim Nagar, Telangana 505001","18.4277615,79.1349097",0721 7888 069 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Malda," Sarbamangala Pally, PS English Bazar, National Highway 34, Near Mango Leaf Hotel, Rathbari, Malda, West Bengal 732101","25.0097017,88.1397583",0828 7946 978 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Jalpaiguri," Kamarpara Road, Near Agrasen Bhawan, Kamarpara, Jalpaiguri, West Bengal 735101","26.5281266,88.7219331",0721 7887 874 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bastar," Varghese Wings, Chitrakote Road, Jagdalpur, Bastar, Chhattisgarh 494001","19.0916693,82.0010402",0888 2035 503 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Murshidabad," Srikanta Bati, Near Green View Nursing Home, Raghunathganj, Murshidabad, West Bengal 742225","24.4573419,88.0512174",0801 7557 398 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Pune," Wing B, Kpct Commercial Complex, Vitthal Rao Shivarkar Road, Fatima Nagar, Wanowrie, Pune, Maharashtra 411013","18.503716,73.9006824",0721 7888 455 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Birbhum," Tourist Lodge Road, Opposite Tourist Lodge, Bolpur, Birbhum, West Bengal 731235","23.6700544,87.6906516",0931 1955 767 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Medak," Mallaiah Garden, Hyderabad Road, Near Khonda, Beside SV Motar, Siddipet, Medak, Telangana 502103","18.0912024,78.853864",0859 5939 584 ,09:00 AM to 08:00 PM
 Vishal Mega Mart ,Bidar," Bvb College Road, Khaji Colony, Gandhi Gunj, Near Bommagondeshwar Circle, Nandi Colony, Bidar, Karnataka 585401","17.9097201,77.519511",0124 4555 100 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Midnapore," Shop No SH-5, Raghunathpur, Opposite SBI Atm Jhargram, Jhargram, West Midnapore, West Bengal 721507","22.4444957,86.9963503",0931 8492 868 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Warangal," Bheemaram, Gate No 2, Opposite Kakatiya University, Hanamkonda, Warangal, Telangana 506009","18.0271843,79.5448182",0124 4555 100 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Warangal," Hunter Road, Near Orugallu Petrol Pump, Hanamkonda, Warangal, Telangana 506001","17.9851488,79.5743312",0828 7946 943 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Dinajpur," Subhas Corner More, Balurghat, South Dinajpur, West Bengal 733101","25.2322756,88.7866875",0888 2035 507 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Dinajpur," Shop No 188, R N Tagore Road, (Lal Dighi), Murshidabad, PS Berhampore, Mouza, Berhampore, South Dinajpur, West Bengal 742101","24.0938551,88.2520717",0888 2206 942 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Mayurbhanj," Murgabadi, Darogadihi Golei, Baripada, Mayurbhanj, Odisha 757002","21.9554686,86.7410839",0721 7887 935 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Midnapore," Jack Paul Building, Raja NL Khan Road, Hospital Road, Midnapore, West Midnapore, West Bengal 721101","22.4197293,87.3204561",0931 5489 280 ,10:00 AM to 08:00 PM
 Vishal Mega Mart ,Hyderabad," Plot No-2/A,5,6,7,25,26,27, Survey No 164, Vill-Dommara Pochampalle, Gandimaisamma 10 Road, Beside Bus Stand, Gandi Maisamma, Hyderabad, Telangana 500043","17.574606,78.423878",0837 4933 453 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Cooch Behar," SN Road, Near Kali Mandir, Gowala Patti, Cooch Behar, West Bengal 736165","26.3278233,89.4557852",0859 5939 569 ,07:00 AM to 07:00 PM
 Vishal Mega Mart ,Hooghly," Arambagh Link Road, Near Gourhati More, Arambagh, Beside SBI, Arambagh, Hooghly, West Bengal 712601","22.8784799,87.7905873",0935 4951 182 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Medak," Ragavendra Colony, Opposite Mahisri Reseidency, Beeramguda, Medak, Telangana 502032","17.52617,78.29830985",0,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Hyderabad," Marwadi Line Colony, Balaji Nagar, Malkajgiri, Sainikpuri, Hyderabad, Telangana 500094","17.5126204,78.5615453",0798 9010 462 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Suchitra Quthbullapur Road, Raghavendra Colony, Godavari Homes, Beside SBI Bank, Quthbullapur, Hyderabad, Telangana 500055","17.5030526,78.4697483",0900 0000 327 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabd," Rampally 10 Road, Nagaram, Opposite Hp Petrol Pump, Nagaram, Hyderabd, Telangana 500083","17.4926118,78.6044613",0721 7888 424 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," 10 Road, Sainikpuri, Vayupuri, Beside Yamaha Showroom, Sainikpuri, Hyderabad, Telangana 500094","17.4840184,78.5475574",0770 2561 445 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Anjaneya Nagar X-Road, Moosapet, Hyderabad, Telangana 500018","17.4693,78.41817",0868 8353 368 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Hyderabad," Plot No 5-21/5-22, Geetha Nagar, Malkajgiri, Secunderabad, Hyderabad, Telangana 500047","17.4504452,78.5353239",0124 4555 100 ,09:30 AM to 10:00 PM
 Vishal Mega Mart ,Hyderabad," Namalagundu, Opposite Good will Hotel, Warasiguda, Secunderabad, Hyderabad, Telangana 500061","17.4228806,78.5165335",0701 3622 037 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Gulbarga," Humnabad Ring Road, Shivaji Nagar, Opposite Kmf Dairy Main Gate, Kalaburagi, Gulbarga, Karnataka 585104","17.3620102,76.8478444",0636 1530 896 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Shop No 8-1-387 to 390, Podium Mall, Tolichowki Road, Daulat Gulshan Colony, Janaki Nagar Colony, Old Mumbai Highway, Toli Chowki, Hyderabad, Telangana 500008","17.4002749,78.414851",0721 7887 928 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Shop No 5-107/a, Buddha Nagar Colony, Mallika Arjun Nagar, National Highway 163, Boduppal, Hyderabad, Telangana 500039","17.4070678,78.5933855",0931 5468 476 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Cuttack," CDA, Opposite SIMS College, Sector 10, Cuttack, Odisha 753014","20.48338,85.82078",0890 8008 093 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Hyderabad," Sai Bhavani Mira Kamshetty Mall, Amberpet Main Road, Bapu Nagar, Meera, Opposite TV Studio, Amberpet, Hyderabad, Telangana 500013","17.395736,78.5289961",0721 7888 066 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nadia," Poramatala Road, Near Alochaya Cinema Hall, Nabadwip, Nadia, West Bengal 741302","23.4043458,88.3662329",0916 3252 754 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Koppal," Timmapure Circle,svp Circle Station Area, Opposite My Medical, Gulbarga, Koppal, Karnataka 585102","17.3200032,76.8270326",0859 5939 582 ,08:00 AM to 08:00 PM
 Vishal Mega Mart ,Baleswar," Fakir Mohan Circle, Ot Road, Balasore, Baleswar, Odisha 756001","21.5008053,86.9242461",0859 5939 571 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," New Nagole Main Road, Samathapuri Colony, Mohan Nagar, Kothapet, Hyderabad, Telangana 500035","17.3740784,78.5514632",0935 4575 150 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bhadrak," Master Babu Complex, Chhapulia Baipass, Bankashi, Bhadrak, Odisha 756100","21.0742744,86.5087834",0721 7888 356 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Near Kali Mandir, Bandlaguda Jagir, Opposite Grk Gardens, Bandlaguda Jagir, Hyderabad, Telangana 500093","17.35739,78.3846671",0935 4951 159 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Pillar No 188, Inner Ring Road, Upperpally, Attapur, Hyderabad, Telangana 500048","17.3531096,78.4194806",0880 2209 999 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Green Park Colony Karmanght, Adjacent Max Life Hospital, Saroor Nagar East, Hyderabad, Telangana 500079","17.3452022,78.5277798",0931 1713 423 ,10:00 AM to 09:00 PM
